"agreement_label","agreement_confidence","comment_id","topic","error"
"Mixed/Ambiguous",0.65,"climate_comment_200243","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.85,"climate_comment_257007","Global Climate Change And Sustainability",NA
"Disagree",0.9,"climate_comment_252678","Climate Migration And Coastal Resilience",NA
"Disagree",0.85,"climate_comment_236048","Climate Change Denial And Political Polarization",NA
"Mixed/Ambiguous",0.75,"climate_comment_280891","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_244510","Climate Migration And Coastal Resilience",NA
"Agree",0.95,"climate_comment_279479","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_248152","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_174365","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_279476","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_246341","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_242578","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_257006","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_246343","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_163364","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_218236","Climate Change Denial And Political Polarization",NA
"Disagree",0.92,"climate_comment_172397","Global Climate Change And Sustainability",NA
"Disagree",0.9,"climate_comment_201400","Climate Migration And Coastal Resilience",NA
"Agree",0.92,"climate_comment_179864","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_220507","Climate Change Denial And Political Polarization",NA
"Disagree",0.92,"climate_comment_172398","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_220506","Climate Change Denial And Political Polarization",NA
"Neither/Unclear",0.9,"climate_comment_220508","Climate Change Denial And Political Polarization",NA
"Mixed/Ambiguous",0.75,"climate_comment_256257","Climate Migration And Coastal Resilience",NA
"Agree",0.85,"climate_comment_270938","Climate Migration And Coastal Resilience",NA
"Neither/Unclear",0.9,"climate_comment_270941","Climate Migration And Coastal Resilience",NA
"Mixed/Ambiguous",0.75,"climate_comment_247021","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_264059","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_163510","Climate Change Denial And Political Polarization",NA
"Disagree",0.9,"climate_comment_252679","Climate Migration And Coastal Resilience",NA
"Neither/Unclear",0.85,"climate_comment_163780","Climate Migration And Coastal Resilience",NA
"Neither/Unclear",0.9,"climate_comment_163681","Climate Change Denial And Political Polarization",NA
"Mixed/Ambiguous",0.75,"climate_comment_264056","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_163558","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_280893","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_209524","Global Climate Change And Sustainability",NA
"Disagree",0.9,"climate_comment_277248","Climate Change Denial And Political Polarization",NA
"Agree",0.92,"climate_comment_163511","Climate Change Denial And Political Polarization",NA
"Disagree",0.92,"climate_comment_183716","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_171518","Climate Migration And Coastal Resilience",NA
"Disagree",0.92,"climate_comment_174686","Plastic Waste Solutions And Technology",NA
"Agree",0.92,"climate_comment_259415","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_195344","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_166971","Climate Migration And Coastal Resilience",NA
"Disagree",0.9,"climate_comment_171521","Climate Migration And Coastal Resilience",NA
"Disagree",0.92,"climate_comment_195345","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_257037","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_257038","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_264057","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_220753","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_195343","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_264626","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_268589","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_204842","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.88,"climate_comment_204843","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_279991","Climate Change Denial And Political Polarization",NA
"Mixed/Ambiguous",0.75,"climate_comment_268591","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_268592","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_268590","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_204844","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_255966","Climate Change Denial And Political Polarization",NA
"Neither/Unclear",0.9,"climate_comment_255965","Climate Change Denial And Political Polarization",NA
"Disagree",0.85,"climate_comment_208338","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_205912","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_205914","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_255964","Climate Change Denial And Political Polarization",NA
"Agree",0.88,"climate_comment_242225","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_190253","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_199899","Progressive Taxation For Climate Mitigation",NA
"Agree",0.85,"climate_comment_255941","Climate Change Denial And Political Polarization",NA
"Disagree",0.95,"climate_comment_242226","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_242224","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_219237","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.85,"climate_comment_190323","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_168770","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_216091","Climate Migration And Coastal Resilience",NA
"Disagree",0.85,"climate_comment_217859","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_234623","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_234625","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_168771","Global Climate Change And Sustainability",NA
"Disagree",0.9,"climate_comment_217861","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_234626","Global Climate Change And Sustainability",NA
"Disagree",0.9,"climate_comment_243034","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_175016","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_183647","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_244624","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_254310","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.85,"climate_comment_197436","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_255043","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_175013","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_183645","Global Climate Change And Sustainability",NA
"Agree",0.95,"climate_comment_262868","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_230985","Climate Change Denial And Political Polarization",NA
"Disagree",0.92,"climate_comment_168846","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_197437","Global Climate Change And Sustainability",NA
"Disagree",0.9,"climate_comment_230986","Climate Change Denial And Political Polarization",NA
"Agree",0.85,"climate_comment_195332","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_168847","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_185913","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_183923","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_202317","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_195330","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_186630","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.85,"climate_comment_279174","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_219257","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_219259","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.88,"climate_comment_185912","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_219258","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_205322","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_192485","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_258426","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_205320","Global Climate Change And Sustainability",NA
"Agree",0.95,"climate_comment_186631","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_226831","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_218875","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_239525","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_203858","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_258427","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_239524","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_226834","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_205599","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_266415","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_258257","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_239526","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_170928","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_205598","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_197361","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_211771","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_170929","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_182406","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_258261","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_249499","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_249498","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_258428","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.65,"climate_comment_244497","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_244496","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_266416","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.88,"climate_comment_267750","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_268501","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_251421","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_251422","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_263127","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_224112","Climate Change Denial And Political Polarization",NA
"Mixed/Ambiguous",0.75,"climate_comment_170564","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_268502","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_268503","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_189164","Global Climate Change And Sustainability",NA
"Disagree",0.9,"climate_comment_170566","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_208553","Global Climate Change And Sustainability",NA
"Agree",0.88,"climate_comment_183005","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_184156","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.85,"climate_comment_208555","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_184153","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_184155","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_184154","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_220238","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_219906","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_222983","Climate Change Denial And Political Polarization",NA
"Disagree",0.92,"climate_comment_233995","Climate Change Denial And Political Polarization",NA
"Disagree",0.85,"climate_comment_225700","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.85,"climate_comment_220237","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_222985","Climate Change Denial And Political Polarization",NA
"Neither/Unclear",0.9,"climate_comment_222984","Influence Of Public Figures On Climate Discourse",NA
"Neither/Unclear",0.9,"climate_comment_185554","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_187264","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_185553","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_248744","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_184157","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_262166","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_258625","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_208544","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_208545","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_187741","Climate Change Denial And Political Polarization",NA
"Disagree",0.9,"climate_comment_208546","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_187740","Climate Change Denial And Political Polarization",NA
"Agree",0.85,"climate_comment_208547","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_204595","Climate Migration And Coastal Resilience",NA
"Mixed/Ambiguous",0.75,"climate_comment_169955","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_169956","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_243407","Climate Change Denial And Political Polarization",NA
"Mixed/Ambiguous",0.75,"climate_comment_256398","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_169957","Global Climate Change And Sustainability",NA
"Disagree",0.9,"climate_comment_243409","Climate Change Denial And Political Polarization",NA
"Disagree",0.92,"climate_comment_214816","Climate Change Denial And Political Polarization",NA
"Mixed/Ambiguous",0.75,"climate_comment_252751","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_237925","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_243411","Climate Change Denial And Political Polarization",NA
"Mixed/Ambiguous",0.75,"climate_comment_169958","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_280137","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_214814","Climate Change Denial And Political Polarization",NA
"Disagree",0.92,"climate_comment_232521","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_232522","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_252750","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_237927","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_237926","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_224507","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_209298","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_235972","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_280684","Climate Change Denial And Political Polarization",NA
"Mixed/Ambiguous",0.75,"climate_comment_235970","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_216246","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_216247","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_180991","Global Climate Change And Sustainability",NA
"Disagree",0.97,"climate_comment_207532","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_235969","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_269742","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_259248","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_216585","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_276602","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_206638","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_259249","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_235971","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_216586","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_216587","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.85,"climate_comment_180993","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.85,"climate_comment_194403","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_216588","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_174339","Progressive Taxation For Climate Mitigation",NA
"Disagree",0.92,"climate_comment_194407","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_187412","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_209297","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_194405","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_194404","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_275630","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_187411","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_268969","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_183279","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_265627","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_253020","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_228719","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_183280","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_194406","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_187410","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_265629","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_191254","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_265631","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_232081","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_272525","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_222078","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_189877","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_193748","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_274040","Global Climate Change And Sustainability",NA
"Agree",0.9,"climate_comment_191255","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_177130","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_177129","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_274042","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.85,"climate_comment_252790","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_232644","Progressive Taxation For Climate Mitigation",NA
"Mixed/Ambiguous",0.75,"climate_comment_189306","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_252791","Global Climate Change And Sustainability",NA
"Agree",0.9,"climate_comment_278947","Climate Change Denial And Political Polarization",NA
"Neither/Unclear",0.88,"climate_comment_252792","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.85,"climate_comment_186977","Global Climate Change And Sustainability",NA
"Disagree",0.9,"climate_comment_232642","Progressive Taxation For Climate Mitigation",NA
"Mixed/Ambiguous",0.75,"climate_comment_189305","Global Climate Change And Sustainability",NA
"Agree",0.9,"climate_comment_223497","Climate Change Denial And Political Polarization",NA
"Disagree",0.92,"climate_comment_192858","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_223496","Climate Change Denial And Political Polarization",NA
"Agree",0.92,"climate_comment_192859","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_192860","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_170445","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_276999","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_267487","Global Climate Change And Sustainability",NA
"Disagree",0.9,"climate_comment_216481","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_223494","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_275814","Climate Change Denial And Political Polarization",NA
"Agree",0.85,"climate_comment_196543","Climate Change Denial And Political Polarization",NA
"Disagree",0.92,"climate_comment_206450","Climate Change Denial And Political Polarization",NA
"Neither/Unclear",0.9,"climate_comment_196544","Climate Change Denial And Political Polarization",NA
"Disagree",0.95,"climate_comment_170447","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_170446","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_206451","Climate Change Denial And Political Polarization",NA
"Mixed/Ambiguous",0.75,"climate_comment_216483","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_206452","Climate Change Denial And Political Polarization",NA
"Agree",0.92,"climate_comment_238792","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_216894","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_275663","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_201145","Global Climate Change And Sustainability",NA
"Agree",0.9,"climate_comment_247832","Global Climate Change And Sustainability",NA
"Agree",0.9,"climate_comment_172213","Climate Change Denial And Political Polarization",NA
"Disagree",0.95,"climate_comment_216896","Global Climate Change And Sustainability",NA
"Agree",0.88,"climate_comment_174599","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_195355","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_255667","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.85,"climate_comment_247831","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_172270","Climate Change Denial And Political Polarization",NA
"Agree",0.92,"climate_comment_212532","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_172212","Climate Change Denial And Political Polarization",NA
"Neither/Unclear",0.9,"climate_comment_179496","Climate Change Denial And Political Polarization",NA
"Mixed/Ambiguous",0.75,"climate_comment_210191","Climate Change Denial And Political Polarization",NA
"Disagree",0.95,"climate_comment_210192","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_179497","Climate Change Denial And Political Polarization",NA
"Disagree",0.95,"climate_comment_192671","Global Climate Change And Sustainability",NA
"Agree",0.9,"climate_comment_246584","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_212531","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_202880","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_186300","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_223509","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_214898","Climate Change Denial And Political Polarization",NA
"Agree",0.85,"climate_comment_261892","Global Climate Change And Sustainability",NA
"Disagree",0.9,"climate_comment_229215","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_261895","Global Climate Change And Sustainability",NA
"Agree",0.9,"climate_comment_214897","Climate Change Denial And Political Polarization",NA
"Agree",0.9,"climate_comment_261894","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.85,"climate_comment_202879","Global Climate Change And Sustainability",NA
"Agree",0.9,"climate_comment_275823","Global Climate Change And Sustainability",NA
"Disagree",0.9,"climate_comment_179499","Climate Change Denial And Political Polarization",NA
"Agree",0.85,"climate_comment_223510","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_231496","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_181407","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.85,"climate_comment_170276","Climate Change Denial And Political Polarization",NA
"Neither/Unclear",0.85,"climate_comment_252855","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_201109","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_201107","Global Climate Change And Sustainability",NA
"Agree",0.88,"climate_comment_272827","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_236225","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_201105","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_272826","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_212212","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.8,"climate_comment_236226","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_240060","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_252857","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_272330","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_236227","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_236228","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_254977","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_236229","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.85,"climate_comment_226407","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_226409","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_175077","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_193456","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_233825","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_175323","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_265093","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_178146","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_175326","Global Climate Change And Sustainability",NA
"Agree",0.88,"climate_comment_184877","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_256068","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_207790","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_188560","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_253355","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_245028","Climate Change Denial And Political Polarization",NA
"Disagree",0.85,"climate_comment_253358","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_265690","Climate Change Denial And Political Polarization",NA
"Disagree",0.92,"climate_comment_172294","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.85,"climate_comment_266049","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_180836","Global Climate Change And Sustainability",NA
"Disagree",0.95,"climate_comment_200904","Global Climate Change And Sustainability",NA
"Disagree",0.92,"climate_comment_266051","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_230218","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_197276","Climate Change Denial And Political Polarization",NA
"Disagree",0.9,"climate_comment_198697","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_230217","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_198699","Global Climate Change And Sustainability",NA
